Date,HE,MWh
1/23/2019,9,17176.19
1/23/2019,10,17143.69
1/23/2019,11,17090.52
1/23/2019,12,16914.57
1/23/2019,13,16660.8
1/23/2019,14,16789.5
1/23/2019,15,16655.25
1/23/2019,16,16665.28
1/23/2019,17,16894.58
1/23/2019,18,17633.39
1/23/2019,19,17453.93
1/23/2019,20,16919.13
1/23/2019,21,16153.18
1/23/2019,22,15094.23
1/23/2019,23,14006.59
1/23/2019,24,13191.22
1/24/2019,1,13127.03
1/24/2019,2,12837.82
1/24/2019,3,12591.33
1/24/2019,4,12494.74
1/24/2019,5,12502.05
1/24/2019,6,13236.34
1/24/2019,7,14305.92
1/24/2019,8,14886.98
1/24/2019,9,15107.25
1/24/2019,10,15229.76
1/24/2019,11,15322.22
1/24/2019,12,15430.45
1/24/2019,13,15674.57
1/24/2019,14,15687.28
1/24/2019,15,15588.4
1/24/2019,16,15424.9
1/24/2019,17,15802.52
1/24/2019,18,16360.62
1/24/2019,19,16198.58
1/24/2019,20,15723.66
1/24/2019,21,15183.68
1/24/2019,22,14511.84
1/24/2019,23,13477.11
1/24/2019,24,12949.74
1/25/2019,1,12362.74
1/25/2019,2,11944.6
1/25/2019,3,11827.16
1/25/2019,4,11888.81
1/25/2019,5,11909.51
1/25/2019,6,12776.34
1/25/2019,7,14513.89
1/25/2019,8,15481.5
1/25/2019,9,15402.64
1/25/2019,10,14780.7
1/25/2019,11,14433.23
1/25/2019,12,14374.93
1/25/2019,13,14200.7
1/25/2019,14,14414
1/25/2019,15,14407.28
1/25/2019,16,14791.07
1/25/2019,17,15560.65
1/25/2019,18,16603.56
1/25/2019,19,16612.38
1/25/2019,20,16256.44
1/25/2019,21,15802.51
1/25/2019,22,15159.31
1/25/2019,23,14442.86
1/25/2019,24,13552.5
1/26/2019,1,12914.78
1/26/2019,2,12530.03
1/26/2019,3,12608.06
1/26/2019,4,12537.62
1/26/2019,5,12395.89
1/26/2019,6,12758
1/26/2019,7,13533.63
1/26/2019,8,14245.41
1/26/2019,9,14587.19
1/26/2019,10,14348.77
1/26/2019,11,13937.1
1/26/2019,12,13562.6
1/26/2019,13,13523.28
